,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
83,hokitika,RU,1612650311,49.9358,40.545,15.55,85,100,13.87
84,hokitika,ZA,1612650312,-33.5906,26.891,68.0,91,58,5.01
85,hokitika,SJ,1612650312,78.2186,15.6401,19.4,73,75,8.05
86,hokitika,JP,1612650064,35.7333,140.8333,35.6,80,0,4.61
87,hokitika,US,1612650124,37.3394,-121.895,71.01,24,1,11.5
88,hokitika,PF,1612650176,-9.8,-139.0333,80.35,77,100,20.36
89,hokitika,JP,1612650313,26.1247,127.6694,66.2,82,20,4.61
90,hokitika,US,1612650313,36.6177,-121.9166,70.0,67,1,8.01
91,hokitika,RE,1612650314,-21.3585,55.7679,78.8,83,40,4.61
92,hokitika,ZW,1612650314,-20.15,28.5833,65.8,92,100,9.48
93,hokitika,SB,1612650314,-9.4333,159.95,77.99,88,100,10.09
94,hokitika,US,1612650305,29.4241,-98.4936,77.0,19,1,23.02
95,hokitika,MU,1612650315,-20.5167,57.5167,78.8,78,40,4.61
96,hokitika,PG,1612650315,-3.5534,143.6268,77.77,86,95,6.87
97,hokitika,RU,1612650315,71.6872,128.8694,-26.95,85,100,5.08
98,hokitika,US,1612650316,71.2906,-156.7887,-5.8,77,75,10.36
99,hokitika,JP,1612650316,35.1333,140.3,42.8,65,0,5.75
100,hokitika,PG,1612650316,-2.5744,150.7967,82.72,70,61,2.57
101,hokitika,RU,1612650317,64.75,177.4833,-7.01,84,12,6.71
102,hokitika,SA,1612650131,26.326,43.975,50.0,100,75,5.75
103,hokitika,NA,1612650317,-17.9333,19.7667,70.74,86,100,4.21
104,hokitika,NO,1612650317,70.3705,31.1107,27.27,95,100,27.98
105,hokitika,BR,1612650318,-9.6658,-35.7353,78.8,83,0,11.5
106,hokitika,NZ,1612650318,-46.1927,168.8643,69.58,59,2,1.99
107,hokitika,LY,1612650318,29.0331,21.5482,60.62,38,0,8.37
108,hokitika,BR,1612650319,-17.3147,-53.2153,74.57,79,15,8.25
109,hokitika,US,1612650319,20.8947,-156.47,75.2,53,20,11.5
110,hokitika,KZ,1612650319,45.3167,55.2,30.42,83,84,10.33
111,hokitika,PE,1612650320,-13.7,-76.2167,75.2,73,75,5.75
112,hokitika,ID,1612650320,-0.9131,122.8766,76.93,76,100,2.59
113,hokitika,US,1612650320,32.3502,-85.1999,42.8,87,90,6.91
114,hokitika,GL,1612650321,77.484,-69.3632,10.65,87,99,7.63
115,hokitika,RU,1612650245,69.7008,170.3133,-4.92,87,73,5.7
116,hokitika,US,1612650321,45.5113,-92.9802,-4.0,50,1,10.36
117,hokitika,BR,1612650321,-24.7911,-50.0119,65.16,61,0,3.22
118,hokitika,PF,1612650322,-16.5167,-151.75,82.04,67,2,10.8
119,hokitika,RU,1612650322,51.6828,102.1408,6.39,79,86,2.42
120,hokitika,AU,1612650322,-20.7333,139.5,75.2,100,90,5.75
121,hokitika,CA,1612650322,51.226,-58.6502,32.76,96,100,23.85
122,hokitika,BR,1612650315,-20.3297,-40.2925,80.6,78,20,3.44
